0,6316    0,0965    0,7988    0,4323
0,6302    0,0864    0,7982    0,4327
0,6341    0,0897    0,7953    0,4349
0,6334    0,0759    0,8089    0,4247
0,6353    0,0819    0,8018    0,4300
0,6222    0,0834    0,7980    0,4328
0,6240    0,0852    0,7956    0,4346
0,6220    0,0853    0,7953    0,4349
0,6256    0,0945    0,8014    0,4303
0,6354    0,0891    0,7994    0,4318
0,6289    0,1016    0,7964    0,4341
0,6313    0,0886    0,8040    0,4284
0,6349    0,0970    0,7944    0,4355
0,6243    0,0770    0,8087    0,4278
0,6258    0,0790    0,8087    0,4265
0,6356    0,0961    0,8036    0,4287
0,6290    0,0929    0,7985    0,4325
0,6394    0,0837    0,7990    0,4321
0,6261    0,0918    0,7987    0,4323
0,6335    0,0828    0,8042    0,4282
0,6389    0,0835    0,8098    0,4241
0,6241    0,0931    0,7982    0,4327
0,6324    0,0955    0,7945    0,4354
0,6227    0,0782    0,8032    0,4293
0,6307    0,0962    0,7933    0,4364
0,6323    0,0801    0,8073    0,4259
0,6248    0,0922    0,7986    0,4324
0,6249    0,0836    0,8051    0,4276
0,6383    0,0979    0,8013    0,4304
0,6322    0,0826    0,8025    0,4295
0,6289    0,0792    0,8130    0,4236
0,6179    0,0890    0,7949    0,4351
0,6285    0,0840    0,7944    0,4355
0,6366    0,0900    0,8054    0,4274
0,6318    0,0836    0,8045    0,4280
0,6287    0,0923    0,8013    0,4304
0,6243    0,0848    0,7990    0,4321
0,6397    0,0891    0,8022    0,4297
0,6264    0,0878    0,8052    0,4275
0,6202    0,0882    0,7967    0,4338
0,6308    0,0867    0,8053    0,4274
0,6271    0,0891    0,8014    0,4303
0,6374    0,0900    0,8083    0,4252
0,6320    0,0858    0,7964    0,4341
0,6262    0,0954    0,8011    0,4305
0,6386    0,0936    0,7945    0,4354
0,6387    0,0816    0,8109    0,4232
0,6323    0,0906    0,7995    0,4318
0,6289    0,0714    0,8014    0,4326
0,6292    0,0879    0,7999    0,4314
0,6250    0,0818    0,8094    0,4272
0,6243    0,0841    0,7996    0,4317
0,6287    0,0897    0,8031    0,4291
0,6357    0,0908    0,7999    0,4314
0,6210    0,0967    0,7936    0,4362
0,6340    0,0942    0,7916    0,4377
0,6363    0,0759    0,8040    0,4284
0,6329    0,0924    0,8017    0,4301
0,6286    0,0961    0,7939    0,4359
0,6233    0,0769    0,8012    0,4305
0,6312    0,0896    0,7977    0,4331
0,6311    0,0883    0,7936    0,4362
0,6280    0,0803    0,8008    0,4308
0,6280    0,0928    0,7967    0,4338
0,6318    0,0890    0,8031    0,4290
0,6299    0,0925    0,8027    0,4293
0,6260    0,0898    0,8012    0,4305
0,6357    0,0897    0,8074    0,4258
0,6231    0,0829    0,8158    0,4289
0,6243    0,0846    0,7990    0,4321
0,6302    0,0958    0,8062    0,4268
0,6253    0,0808    0,8007    0,4308
0,6211    0,0782    0,8010    0,4307
0,6227    0,0778    0,8054    0,4293
0,6356    0,0991    0,8003    0,4312
0,6324    0,0911    0,8020    0,4299
0,6369    0,0922    0,8065    0,4265
0,6295    0,0883    0,7980    0,4329
0,6274    0,0969    0,8037    0,4286
0,6304    0,0763    0,8026    0,4295
